country;store_url;address;GOOGLE_address;latitude;longitude
USA;https://www.lego.com/en-us/stores/stores/us/cherry-hill;2000 RTE 38 UNIT 1095 CHERRY HILL NJ 08002-2122;2000 NJ-38 #1095, Cherry Hill, NJ 08002, USA;39.9418533;-75.0261976
USA;https://www.lego.com/en-us/stores/stores/us/raceway;3710 ROUTE 9 FREEHOLD NJ 07728-4800;3710 U.S. 9, Freehold, NJ 07728, USA;40.2533021;-74.2995282
USA;https://www.lego.com/en-us/stores/stores/us/jersey-gardens;651 KAPKOWSKI ROAD, #1462 ELIZABETH NJ 07201-4934;651 Kapkowski Rd #1462, Elizabeth, NJ 07201, USA;40.6601883;-74.1713372
USA;https://www.lego.com/en-us/stores/stores/us/westfield-garden-state-plaza;1 GARDEN STATE PLAZA PARAMUS NJ 07652-2404;1 Garden State Plaza Blvd, Paramus, NJ 07652, USA;40.914712;-74.075363
USA;https://www.lego.com/en-us/stores/stores/us/fashion-show;3200 SOUTH LAS VEGAS BLVD LAS VEGAS NV 89109;3200 S Las Vegas Blvd, Las Vegas, NV 89109, USA;36.1277253;-115.1744147
USA;https://www.lego.com/en-us/stores/stores/us/eastview;7979 PITTSFORD VICTOR RD,131B VICTOR NY 14564;7979 Pittsford Victor Rd, Victor, NY 14564, USA;43.0299449;-77.44371129999999
USA;https://www.lego.com/en-us/stores/stores/us/flatiron-district;200 5TH AVENUE NEW YORK NY 10010-3302;Fifth Avenue Hotel, 200 5th Ave, New York, NY 10010, USA;40.74199309999999;-73.98993570000002
USA;https://www.lego.com/en-us/stores/stores/us/palisades-center;3462 PALISADES CENTER DR WEST NYACK NY 10994-6604;3462 Palisades Center Dr, West Nyack, NY 10994, USA;41.0989165;-73.9549139
USA;https://www.lego.com/en-us/stores/stores/us/queens-center;90-15 QUEENS BLVD STE 1076 ELMHURST NY 11373-4913;90-15 Queens Blvd #1076, Queens, NY 11373, USA;40.7344896;-73.8705201
USA;https://www.lego.com/en-us/stores/stores/us/rockefeller-center;620 FIFTH AVENUE @ 50TH STREET NEW YORK NY 10020-2402;W 50th St & 5th Ave, New York, NY 10022, USA;40.7585378;-73.9771928
USA;https://www.lego.com/en-us/stores/stores/us/roosevelt-field;630 OLD COUNTRY RD UNIT 1057 GARDEN CITY NY 11530-3470;630 Old Country Rd #1057, Garden City, NY 11530, USA;40.7383708;-73.6131462
USA;https://www.lego.com/en-us/stores/stores/us/staten-island-mall;2655 RICHMOND AVE, UNIT 1285 NEW YORK NY 10314;2655 Richmond Ave #1285, Staten Island, NY 10314, USA;40.582418;-74.1659155
USA;https://www.lego.com/en-us/stores/stores/us/westchester;125 WESTCHESTER AVE WHITE PLAINS NY 10601-4522;125 Westchester Ave, White Plains, NY 10601, USA;41.0315151;-73.7585505
USA;https://www.lego.com/en-us/stores/stores/us/beachwood-place;26300 CEDAR RD BEACHWOOD OH 44122-1160;26300 Cedar Rd, Beachwood, OH 44122, USA;41.49848799999999;-81.4941423
