"TEMPEXT"|"KWCLT"|"KWIT"
29,749987|292,49|463,6
29,749987|321,86|472,78
29,759991|340,54|474,6
29,769985|325,48|469,12
29,779989|309,92|465,5
29,779989|339,73|469,34
29,779989|310,62|461,15
29,799988|301,67|460,74
29,799988|294,74|452,01
29,799988|331,29|475,72
29,819994|320,46|478,03
29,839991|322,66|463,6
29,839991|355,07|473,94
29,839991|325,61|460,46
29,849995|315,6|462,67
29,879993|313,91|462,52
29,889997|329,33|479,79
29,889997|341,72|467,74
29,909994|308,31|466,77
29,909994|302,21|470,53
29,919996|315,24|469,26
29,929998|301,74|457,46
29,949997|325,31|471,64
29,959999|323,47|463,95
29,989998|314,32|462,12
29,989998|296,86|466,65
30|329,2|463,07
30,019997|347,16|470,51
30,029999|317,86|468,9
30,029999|328,1|468,45
30,040001|304,88|469,74
30,059998|320,04|468,98
30,069998|329,36|469,04
30,069998|336,31|462,33
30,069998|308,13|471,81
30,089994|305,85|462,49
30,109999|301,86|452,33
30,119991|335,29|456,58
30,129993|331,12|469,18
30,129993|347,26|471,25
30,139996|332,07|461,67
30,139996|330,13|459,53
30,15999|320,59|462,14
30,179995|350,11|464,73
30,199989|314,57|461,8
30,219992|314,62|462,1
30,219992|328,38|461,43
30,229984|311,85|468,86
30,249987|303,49|462,25
30,249987|327,63|461,93
30,249987|342,46|470,06
30,259989|311,23|471,55
30,269981|319,86|462,59
30,279984|338,2|471,01
30,279984|327,14|461,39
30,279984|309,14|462,07
30,289984|335,15|461,86
30,289984|360,24|471,74
30,299978|333,61|471,87
30,309978|330,95|480,24
30,319979|318,14|468,18
30,339973|319,13|471,8
30,339973|314,84|472,13
30,359974|325,12|461,9
30,359974|318,86|462,39
30,369968|326,17|457,69
30,369968|331,67|477,43
30,379969|302,63|457,66
30,379969|330,05|463,78
30,379969|331,14|468,8
30,399969|301,47|454,93
30,399969|332,29|462,77
30,399969|340,23|464,93
30,399969|281,41|472,6
30,409962|346,52|475,94
30,409962|328,03|469,48
30,449957|347,17|474,23
30,459957|334,06|459,84
30,469957|349,94|463,86
30,47995|304,68|463,2
30,47995|339,89|480,88
30,47995|354,49|462,09
30,47995|321,01|463,11
30,47995|278,79|452,39
30,49995|324,11|461,47
30,519943|322,45|456,96
30,529943|308,23|462,55
30,529943|354,28|467,27
30,539942|356,3|472,64
30,559935|317,98|468,35
30,579935|329,5|470,63
30,579935|354,27|470,9
30,589926|329,79|470,12
30,599926|361,42|463,09
30,609926|325,11|463,71
30,609926|308,28|467,64
30,619919|334,32|474,66
30,619919|327,16|461,93
30,619919|327,08|459,3
30,659908|338,22|459,23
30,659908|329,06|469,05
30,6999|325,85|463,97
30,6999|340,03|460,94
30,709898|303,57|463,13
