country;store_ulr;address
USA;https://www.lego.com/en-us/stores/stores/us/opry-mills;416 OPRY MILLS DRIVE, SP #220 NASHVILLE TN 37214-2443
USA;https://www.lego.com/en-us/stores/stores/us/barton-creek-square;2901 S CAPITAL OF TEXAS HWY AUSTIN TX 78746
USA;https://www.lego.com/en-us/stores/stores/us/baybrook-mall;500 BAYBROOK MALL FRIENDSWOOD TX 77546-2751
USA;https://www.lego.com/en-us/stores/stores/us/north-star;7400 SAN PEDRO AVE. SAN ANTONIO TX 78216-5399
USA;https://www.lego.com/en-us/stores/stores/us/north-park-center;8687 N CENTRAL EXPY STE 770 DALLAS TX 75225-4565
USA;https://www.lego.com/en-us/stores/stores/us/stonebriar-centre;2601 PRESTON RD STE 1222 FRISCO TX 75034-9472
USA;https://www.lego.com/en-us/stores/stores/us/houston-galleria;5015 WESTHEIMER, SUITE A3319 HOUSTON TX 77056-5602
USA;https://www.lego.com/en-us/stores/stores/us/the-woodlands-mall;1201 LAKE WOODLANDS DR # 01182 THE WOODLANDS TX 77380-5007
USA;https://www.lego.com/en-us/stores/stores/us/fashion-place;6191 SOUTH STATE STREET MURRAY UT 84107
USA;https://www.lego.com/en-us/stores/stores/us/pentagon-city;1100 S HAYES STREET,SP 0G07B ARLINGTON VA 22202-4907
USA;https://www.lego.com/en-us/stores/stores/us/potomac-mills-mall;2700 POTOMAC MILLS CIR STE 767 WOODBRIDGE VA 22192-4673
USA;https://www.lego.com/en-us/stores/stores/us/tysons-corner;7966 TYSONS CORNER CTR MCLEAN VA 22102-4500
USA;https://www.lego.com/en-us/stores/stores/us/alderwood;3000 184TH STREET SW, #428 LYNNWOOD WA 98037-4770
USA;https://www.lego.com/en-us/stores/stores/us/bellevue-square-mall;119 BELLEVUE SQUARE BELLEVUE WA 98004-5021
USA;https://www.lego.com/en-us/stores/stores/us/westfield-southcenter;633 SOUTH CENTER, UNIT 1450 SEATTLE WA 98188-2875
USA;https://www.lego.com/en-us/stores/stores/us/mayfair;2500 N. MAYFAIR RD, SPACE 0635 WAUWATOSA WI 53226-1409
